yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,final_mkt_shr_v7,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7,conventional_diesel_ice,adv_conv,hev,bev,fcev,na
2028,78Sleep,2201.1991386476466,164126.8172324316,alt,161925.61809378397,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.9313508994189945,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2270252688000003,NA,1,250,896.1680079175497,1,7596.322606625404,7908.865991052288,312.5433844268846,0.13447071068499755,0,0.9994868154414768,Moderate,0.9886499600138164,0.2658889254835046,0.26575247539266417,0.13815142005998107,0.13815142005998107,0.007008564418802579,0.003575274127167408,0.007008564418802579,0.003575274127167408,NA,8,NA,NA,NA,NA
2028,78Sleep,9165.981876539403,171091.59997032338,alt,161925.61809378397,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.521618413189062,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2270252688000003,NA,1,250,896.1680079175497,1,7070.1476195046025,7908.865991052288,838.7183715476858,0.13447071068499755,0,0.991138789959992,Moderate,0.9208397583791071,0.24765195347247992,0.245457457495942,0.12760105533268307,0.1276010553326831,0.006473333504773415,0.0033022371505998767,0.006473333504773417,0.0033022371505998776,NA,NA,12,NA,NA,NA
2028,78Sleep,407688.7369708905,569614.3550646745,alt,161925.61809378397,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,15.350414684274368,1,512.1396963610377,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.258342987199999,NA,1,250,896.1680079175497,1,12476.860001910216,7908.865991052288,-4567.994010857928,0.13447071068499755,0,2.2526841281234056e-8,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2028,78Sleep,104645.12572423878,266570.7438180228,alt,161925.61809378397,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,10.147600336386622,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,5.167660208643816,NA,1,250,896.1680079175497,1,9507.772776439162,7908.865991052288,-1598.9067853868737,0.13447071068499755,0,0.3134473368667673,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2028,78Sleep,1000000,1161925.618093784,alt,161925.61809378397,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2270252688000003,NA,1,250,896.1680079175497,1,60249.100138335234,7908.865991052288,-52340.23414728294,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2029,78Sleep,2349.6502863568376,164862.49854820932,alt,162512.8482618525,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.151393545847927,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2571352357000003,NA,1,250,896.1680079175497,1,7460.228475243729,7840.985724712953,380.757249469224,0.25,0,0.999419499675061,Moderate,0.9967272854070297,0.49836364270351485,0.49807434244698773,0.2570522149795154,0.2570522149795154,0.01304052471482116,0.006652353867577478,0.01304052471482116,0.006652353867577478,NA,7,NA,NA,NA,NA
2029,78Sleep,9174.055047397444,171686.90330924993,alt,162512.8482618525,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.765326610966552,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2571352357000003,NA,1,250,896.1680079175497,1,6937.705911331353,7840.985724712953,903.2798133816004,0.25,0,0.9911869954499284,Moderate,0.9423324261565089,0.47116621307825446,0.46701382309855577,0.24102212746747234,0.24102212746747234,0.012227301796675125,0.006237505021918462,0.012227301796675125,0.006237505021918462,NA,NA,11,NA,NA,NA
2029,78Sleep,368547.552059145,531060.4003209975,alt,162512.8482618525,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,15.662749653595334,1,513.0777337373214,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.2227176148,NA,1,250,896.1680079175497,1,12185.58985886622,7840.985724712953,-4344.604134153267,0.25,0,6.247270333270549e-7,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2029,78Sleep,100981.2349698481,263494.0832317006,alt,162512.8482618525,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,10.315807841155648,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,5.167660208643816,NA,1,250,896.1680079175497,1,9352.740930241402,7840.985724712953,-1511.7552055284486,0.25,0,0.34214687087296847,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2029,78Sleep,1000000,1162512.8482618525,alt,162512.8482618525,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.2571352357000003,NA,1,250,896.1680079175497,1,60811.258243652665,7840.985724712953,-52970.27251893971,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2030,78Sleep,2518.770537790489,165499.6547761915,alt,162980.88423840102,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.402073101138987,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.3250624511,NA,1,250,896.1680079175497,1,7388.589689747193,7892.861105075846,504.27141532865335,0.36552928931500245,0,0.9993367804599326,Moderate,1,0.7310585786300049,0.7305737262957236,0.37403466139509994,0.3740346613950999,0.01897516520723723,0.009679787923780435,0.018975165207237226,0.009679787923780433,NA,6,NA,NA,NA,NA
2030,78Sleep,9183.252259453044,172164.13649785405,alt,162980.88423840102,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.042966712242913,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.3250624511,NA,1,250,896.1680079175497,1,6864.945173748214,7892.861105075846,1027.9159313276323,0.36552928931500245,0,0.991219816674126,Moderate,0.9610304919278353,0.7025695854488576,0.6964008956894333,0.35653906490062365,0.3565390649006237,0.018087595502751554,0.009227012603346494,0.018087595502751557,0.009227012603346496,NA,NA,10,NA,NA,NA
2030,78Sleep,323956.67394311365,486937.5581815147,alt,162980.88423840102,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,16.018571547586753,1,514.0157711136051,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.181428844000001,NA,1,250,896.1680079175497,1,11866.786906497968,7892.861105075846,-3973.9258014221214,0.36552928931500245,0,1.7127322150201074e-5,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2030,78Sleep,96807.21452494164,259788.09876334266,alt,162980.88423840102,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,10.507435160570463,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,4.134128166915052,NA,1,250,896.1680079175497,1,7345.737699074682,7892.861105075846,547.1234060011648,0.36552928931500245,0,0.3752996381744934,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2030,78Sleep,1000000,1162980.884238401,alt,162980.88423840102,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.3250624511,NA,1,250,896.1680079175497,1,62079.47068757775,7892.861105075846,-54186.6095825019,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2031,78Sleep,2658.1155637144275,166043.0527225084,alt,163384.93715879397,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.608618141336835,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.3623350247,NA,1,250,896.1680079175497,1,7292.152448195944,7886.374567505979,594.2221193100349,0.44039853898894116,0,0.9992650436569982,Moderate,1,0.8807970779778823,0.880149730578525,0.44705776667447344,0.44705776667447344,0.02267970286012049,0.01156958115846028,0.02267970286012049,0.01156958115846028,NA,5,NA,NA,NA,NA
