yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk
2049,78Sleep,bev,0,0
2049,78Sleep,conventional_diesel_ice,0.05253819402027917,0.052061576683913965
2049,78Sleep,fcev,0.9474618059797209,0.9479384233160859
2049,78Sleep,hev,0,0
2049,78Sleep,na,0,0
2050,78Sleep,adv_conv,0,0
2050,78Sleep,bev,0,0
2050,78Sleep,conventional_diesel_ice,0.05253819399766963,0.052061576661293046
2050,78Sleep,fcev,0.9474618060023304,0.9479384233387068
2050,78Sleep,hev,0,0
2050,78Sleep,na,0,0
