yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7
2027,78SU,hev,0.04713568178786918,0.03536864968746682,0.047135681787869185,0.03536864968746682
2027,78SU,na,0,0,0,0
2028,78Day,adv_conv,0.08088828816941013,0.056244129656946897,0.08088828816941013,0.056244129656946897
2028,78Day,bev,0,0,0,0
2028,78Day,conventional_diesel_ice,0.8593936833736805,0.9051777298364716,0.8593936833736805,0.9051777298364716
2028,78Day,fcev,0,0,0,0
2028,78Day,hev,0.05971802845690952,0.03857814050658173,0.05971802845690952,0.03857814050658173
2028,78Day,na,0,0,0,0
2028,78Sleep,adv_conv,0.13373217140686716,0.12547734127238214,0.13373217140686716,0.12547734127238214
2028,78Sleep,bev,0,0,0,0
2028,78Sleep,conventional_diesel_ice,0.7744740283412569,0.7937152551640296,0.7744740283412569,0.7937152551640296
2028,78Sleep,fcev,0,0,0,0
2028,78Sleep,hev,0.09179380025187611,0.08080740356358801,0.09179380025187611,0.08080740356358801
2028,78Sleep,na,0,0,0,0
2028,78SU,adv_conv,0.08637665617792394,0.05555280668992393,0.08637665617792394,0.05555280668992393
2028,78SU,bev,0,0,0,0
2028,78SU,conventional_diesel_ice,0.8030759894133059,0.8603488034029209,0.8030759894133059,0.8603488034029209
2028,78SU,fcev,6.975069188619851e-8,8.451000495611644e-9,6.97506918861985e-8,8.451000495611642e-9
2028,78SU,hev,0.11054728465807812,0.08409838145615485,0.11054728465807812,0.08409838145615484
2028,78SU,na,0,0,0,0
2029,78Day,adv_conv,0.16351387175317425,0.11715869783877478,0.16351387175317425,0.11715869783877478
2029,78Day,bev,0,0,0,0
2029,78Day,conventional_diesel_ice,0.7117644712227639,0.7996978628965993,0.7117644712227639,0.7996978628965993
2029,78Day,fcev,0,0,0,0
2029,78Day,hev,0.12472165702406202,0.08314343926462614,0.12472165702406202,0.08314343926462614
2029,78Day,na,0,0,0,0
2029,78Sleep,adv_conv,0.2575320296807954,0.24468841425175278,0.2575320296807954,0.24468841425175278
2029,78Sleep,bev,0,0,0,0
2029,78Sleep,conventional_diesel_ice,0.5588004854218742,0.5914196196080326,0.5588004854218742,0.5914196196080326
2029,78Sleep,fcev,0,0,0,0
2029,78Sleep,hev,0.18366748489733042,0.16389196614021442,0.18366748489733042,0.16389196614021442
2029,78Sleep,na,0,0,0,0
2029,78SU,adv_conv,0.08446400629316789,0.03878571909996172,0.08446400629316789,0.03878571909996172
2029,78SU,bev,0,0,0,0
2029,78SU,conventional_diesel_ice,0.643815953893327,0.7517355308453468,0.643815953893327,0.7517355308453468
2029,78SU,fcev,2.058420217701275e-6,2.590365317972999e-7,2.058420217701275e-6,2.590365317972999e-7
2029,78SU,hev,0.27171798139328734,0.2094784910181598,0.27171798139328734,0.2094784910181598
2029,78SU,na,0,0,0,0
2030,78Day,adv_conv,0.26795370167387805,0.19967244520586683,0.2679537016738781,0.19967244520586683
2030,78Day,bev,0,0,0,0
2030,78Day,conventional_diesel_ice,0.5238071345545723,0.6558692038847319,0.5238071345545723,0.6558692038847319
2030,78Day,fcev,0,0,0,0
2030,78Day,hev,0.20823916377154977,0.14445835090940143,0.20823916377154977,0.14445835090940143
2030,78Day,na,0,0,0,0
2030,78Sleep,adv_conv,0.3886081035023604,0.3748790310660845,0.3886081035023604,0.3748790310660845
